Vehicle_label,Road_order,Caused_delay,Count,Total_time
0,0,1.1888888888888878,9,98.85555555555209
0,1,1.5888888888888877,9,70.5166666666648
0,2,0.8750000000000003,12,67.79999999999829
0,3,0.8150000000000002,20,36.45000000000007
1,0,3.049999999999993,2,97.82499999999658
1,1,2.039999999999998,5,72.769999999998
1,2,1.29,5,68.45999999999825
1,3,1.6763157894736842,38,37.953947368421034
2,0,0.7666666666666669,3,98.59999999999654
2,1,2.3999999999999977,4,75.87499999999784
2,2,1.0749999999999993,6,70.83333333333145
2,3,1.6878378378378365,37,40.363513513513354
3,0,1.137499999999999,12,99.96249999999647
3,1,0.6970588235294111,17,74.15882352940969
3,2,1.970833333333332,12,72.15416666666471
3,3,3.027777777777773,9,42.299999999999734
4,0,1.7722222222222201,9,103.3333333333296
4,1,1.3277777777777762,9,73.96111111110905
4,2,2.3749999999999964,8,72.54374999999803
4,3,1.6874999999999991,24,41.20833333333313
5,0,2.0916666666666646,6,101.77499999999635
5,1,2.424999999999996,12,75.62499999999785
5,2,1.7833333333333314,9,72.97222222222022
5,3,2.4130434782608665,23,42.28043478260843
6,0,2.824999999999997,10,106.64999999999608
6,1,1.4499999999999993,13,75.13076923076711
6,2,2.8772727272727234,11,72.19090909090713
6,3,2.8343749999999956,16,43.35937499999967
7,0,3.120000000000002,5,106.3699999999961
7,1,1.3249999999999984,18,76.6361111111089
7,2,2.3999999999999964,14,73.43928571428368
7,3,3.873076923076916,13,43.54999999999966
8,0,1.7599999999999973,10,104.92999999999617
8,1,3.0499999999999945,5,81.99999999999748
8,2,2.7636363636363583,11,72.48181818181621
8,3,3.4937499999999946,24,43.51249999999967
9,0,2.4437499999999965,8,106.3062499999961
9,1,1.6923076923076898,13,78.23846153845923
9,2,2.8333333333333295,15,73.98333333333127
9,3,4.596428571428569,14,45.72499999999953
10,0,1.9199999999999982,5,102.67999999999631
10,1,1.7272727272727253,11,78.39545454545224
10,2,3.2562500000000028,8,76.3687499999978
10,3,2.5423076923076904,26,44.27115384615347
11,0,1.9031250000000002,16,107.58124999999603
11,1,2.391666666666666,12,79.65833333333096
11,2,4.668749999999991,8,78.01249999999771
11,3,2.385714285714283,14,45.89999999999953
12,0,4.1833333333333265,6,108.5083333333293
12,1,1.8380952380952364,21,78.83571428571196
12,2,2.5650000000000035,10,74.49999999999791
12,3,3.8384615384615346,13,44.44230769230731
13,0,2.090909090909088,11,112.57272727272301
13,1,1.5027777777777769,18,79.03888888888655
13,2,4.62777777777778,9,76.21666666666448
13,3,4.695833333333334,12,45.81249999999954
14,0,3.749999999999993,5,110.76999999999585
14,1,4.989999999999994,5,87.95999999999715
14,2,6.166666666666685,6,78.93333333333099
14,3,3.4205882352941246,34,46.82647058823477
15,0,3.391666666666661,18,113.50277777777347
15,1,3.3600000000000003,10,79.9649999999976
15,2,3.2038461538461553,13,79.09999999999765
15,3,6.60555555555557,9,50.805555555554804
16,0,2.429411764705879,17,111.96470588234874
16,1,2.8666666666666623,12,82.15833333333082
16,2,3.464285714285716,14,78.16071428571199
16,3,5.80000000000002,7,52.585714285713436
17,0,3.3142857142857087,14,115.38214285713846
17,1,4.725,10,83.5349999999974
17,2,4.009375000000021,16,79.83124999999761
17,3,4.425000000000006,10,50.549999999999265
18,0,2.821052631578945,19,116.21315789473242
18,1,4.013333333333326,15,84.12666666666404
18,2,6.938888888888917,9,81.54444444444195
18,3,9.200000000000047,7,54.057142857141926
19,0,4.367647058823523,17,118.82941176470149
19,1,5.716666666666666,9,88.31666666666379
19,2,7.270833333333365,12,85.33749999999729
19,3,7.6250000000000275,12,51.49166666666588
20,0,4.85454545454545,11,119.86363636363207
20,1,5.459374999999997,16,91.11562499999697
20,2,6.172222222222238,9,83.83888888888627
20,3,8.042857142857176,14,54.61785714285618
21,0,8.950000000000026,5,129.7899999999962
21,1,4.257894736842099,19,88.66578947368131
21,2,9.70000000000007,7,88.70714285713996
21,3,6.292105263157917,19,55.939473684209496
22,0,4.0499999999999945,12,122.44999999999571
22,1,5.750000000000006,16,90.34999999999701
22,2,9.987500000000056,8,93.62499999999682
22,3,8.082142857142903,14,53.68214285714195
23,0,6.780769230769238,13,128.7230769230734
23,1,4.875000000000001,18,90.55277777777478
23,2,7.800000000000034,11,85.95454545454271
23,3,17.91875000000006,8,67.37499999999831
24,0,4.263333333333334,15,118.38999999999572
24,1,6.325000000000005,8,103.71874999999625
24,2,9.30769230769236,13,92.11923076922767
24,3,7.87857142857146,14,61.353571428570085
25,0,5.625000000000001,12,124.91666666666309
25,1,4.909999999999998,10,98.63999999999655
25,2,9.269230769230814,13,90.78461538461251
25,3,7.600000000000038,15,60.26666666666539
26,0,4.991666666666666,12,122.8999999999965
26,1,4.715384615384616,13,92.84230769230456
26,2,16.983333333333388,6,104.3916666666633
26,3,5.747368421052646,19,55.31315789473584
27,0,4.044444444444448,9,124.6555555555516
27,1,5.37222222222223,18,93.5277777777746
27,2,6.288888888888897,9,96.60555555555224
27,3,8.696428571428624,14,66.55714285714122
28,0,6.077272727272739,11,131.50909090908803
28,1,5.161111111111118,18,97.75833333332993
28,2,9.150000000000043,9,96.27222222221889
28,3,9.341666666666695,12,68.64999999999824
29,0,6.18750000000001,12,129.50416666666337
29,1,6.3800000000000034,15,103.90999999999624
29,2,9.475000000000035,14,99.04999999999681
29,3,9.722222222222273,9,70.95555555555366
30,0,5.083333333333332,15,129.12999999999676
30,1,9.725000000000025,8,109.34374999999594
30,2,6.535714285714304,14,103.9285714285678
30,3,8.919230769230802,13,69.92307692307509
31,0,4.632142857142855,14,123.09642857142546
31,1,6.180769230769237,13,103.54615384615015
31,2,8.65454545454551,11,96.94090909090613
31,3,8.29583333333337,12,67.64583333333162
32,0,4.927777777777783,18,128.59999999999715
32,1,5.8166666666666655,9,107.08888888888494
32,2,9.970000000000057,10,100.21499999999693
32,3,8.838461538461585,13,75.8615384615363
33,0,4.392857142857144,14,126.48571428571127
33,1,7.02500000000003,12,103.67916666666325
33,2,11.918750000000076,8,105.4124999999971
33,3,3.737500000000006,16,69.13749999999821
34,0,9.250000000000048,4,148.47499999999974
34,1,8.890625000000025,16,107.7999999999962
34,2,11.650000000000054,5,126.2299999999976
34,3,10.198000000000045,25,76.89199999999776
