Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number,vehicle_rate
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,60
1,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1,60
2,"[0, 1]",72.34999999999803,"[1, 1]","[0, 0]","[0, 0]",1,60
3,"[2, 3]",70.94999999999811,"[0, 0]","[0, 0]","[0, 0]",1,60
4,"[2, 3]",75.29999999999787,"[3, 3]","[0, 0]","[0, 0]",1,60
5,"[2, 3]",79.44999999999763,"[4, 4]","[0, 0]","[0, 0]",1,60
6,"[0, 1]",73.24999999999798,"[2, 2]","[0, 0]","[0, 0]",1,60
7,"[2, 3]",82.34999999999746,"[5, 5]","[0, 0]","[0, 0]",1,60
8,"[2, 3]",86.19999999999725,"[7, 7]","[0, 0]","[0, 0]",1,60
9,"[2, 3]",90.04999999999703,"[8, 8]","[0, 0]","[0, 0]",1,60
10,"[0, 1]",73.94999999999794,"[6, 6]","[0, 0]","[0, 0]",1,60
11,"[0, 1]",77.34999999999775,"[10, 10]","[0, 0]","[0, 0]",1,60
12,"[2, 3]",91.69999999999693,"[9, 9]","[0, 0]","[0, 0]",1,60
13,"[0, 1]",79.74999999999761,"[11, 11]","[0, 0]","[0, 0]",1,60
14,"[0, 1]",82.94999999999743,"[13, 13]","[0, 0]","[0, 0]",1,60
15,"[2, 3]",93.54999999999683,"[12, 12]","[0, 0]","[0, 0]",1,60
16,"[2, 3]",97.94999999999658,"[15, 15]","[0, 0]","[0, 0]",1,60
17,"[0, 1]",84.19999999999736,"[14, 14]","[0, 0]","[0, 0]",1,60
18,"[2, 3]",101.59999999999637,"[16, 16]","[0, 0]","[0, 0]",1,60
19,"[0, 1]",86.59999999999722,"[17, 17]","[0, 0]","[0, 0]",1,60
20,"[2, 3]",105.44999999999615,"[18, 18]","[6.149999999999986, 0]","[0, 0]",1,60
21,"[2, 3]",110.29999999999588,"[20, 20]","[8.84999999999999, 0]","[0, 0]",1,60
22,"[0, 1]",88.29999999999713,"[19, 19]","[0, 0]","[0, 0]",1,60
23,"[0, 1]",92.2499999999969,"[22, 22]","[0, 0]","[0, 0]",1,60
24,"[2, 3]",113.19999999999571,"[21, 21]","[6.499999999999985, 0]","[0, 0]",1,60
25,"[2, 3]",118.04999999999544,"[24, 24]","[4.749999999999991, 0]","[0, 0]",1,60
26,"[0, 1]",94.34999999999678,"[23, 23]","[0, 0]","[0, 0]",1,60
27,"[0, 1]",98.39999999999655,"[26, 26]","[0, 0]","[0, 0]",1,60
28,"[0, 1]",102.39999999999633,"[27, 27]","[0, 0]","[0, 0]",1,60
29,"[0, 1]",106.3999999999961,"[28, 28]","[0, 0]","[0, 0]",1,60
30,"[2, 3]",118.94999999999538,"[25, 25]","[3.2499999999999964, 0]","[0, 0]",1,60
31,"[2, 3]",123.79999999999511,"[30, 30]","[1.7500000000000009, 0]","[0, 0]",1,60
32,"[2, 3]",128.599999999995,"[31, 31]","[0, 0]","[0, 0]",1,60
33,"[2, 3]",133.39999999999608,"[32, 32]","[0, 0]","[0, 0]",1,60
34,"[2, 3]",138.2499999999972,"[33, 33]","[0, 0]","[0, 0]",1,60
35,"[2, 3]",143.0999999999983,"[34, 34]","[0, 0]","[0, 0]",1,60
36,"[0, 1]",104.09999999999623,"[29, 29]","[0, 0]","[0, 0]",1,60
37,"[2, 3]",146.89999999999915,"[35, 35]","[0, 0]","[0, 0]",1,60
38,"[0, 1]",106.99999999999606,"[36, 36]","[0, 0]","[0, 0]",1,60
39,"[0, 1]",110.94999999999584,"[38, 38]","[0, 0]","[0, 0]",1,60
40,"[0, 1]",114.89999999999561,"[39, 39]","[0, 0]","[0, 0]",1,60
41,"[0, 1]",118.89999999999539,"[40, 40]","[0, 0]","[0, 0]",1,60
42,"[2, 3]",147.5499999999993,"[37, 37]","[0, 0]","[0, 0]",1,60
43,"[2, 3]",152.3500000000004,"[42, 42]","[0, 0]","[0, 0]",1,60
44,"[0, 1]",120.79999999999528,"[41, 41]","[0, 0]","[0, 0]",1,60
45,"[0, 1]",124.74999999999505,"[44, 44]","[0, 0]","[0, 0]",1,60
46,"[2, 3]",155.10000000000102,"[43, 43]","[0, 0]","[0, 0]",1,60
47,"[0, 1]",127.64999999999489,"[45, 45]","[0, 0]","[0, 0]",1,60
48,"[0, 1]",131.59999999999567,"[47, 47]","[0, 0]","[0, 0]",1,60
49,"[0, 1]",135.59999999999658,"[48, 48]","[0, 0]","[0, 0]",1,60
50,"[0, 1]",139.54999999999748,"[49, 49]","[0, 0]","[0, 0]",1,60
51,"[2, 3]",155.80000000000118,"[46, 46]","[0, 0]","[0, 0]",1,60
52,"[0, 1]",142.44999999999814,"[50, 50]","[0, 0]","[0, 0]",1,60
53,"[2, 3]",159.60000000000204,"[51, 51]","[0, 0]","[0, 0]",1,60
54,"[2, 3]",164.40000000000313,"[53, 53]","[0, 0]","[0, 0]",1,60
55,"[2, 3]",169.25000000000423,"[54, 54]","[0, 0]","[0, 0]",1,60
56,"[0, 1]",143.24999999999832,"[52, 52]","[0, 0]","[0, 0]",1,60
57,"[2, 3]",173.0500000000051,"[55, 55]","[0, 0]","[0, 0]",1,60
58,"[2, 3]",177.9000000000062,"[57, 57]","[0, 0]","[0, 0]",1,60
59,"[2, 3]",182.7500000000073,"[58, 58]","[0, 0]","[0, 0]",1,60
60,"[0, 1]",144.0499999999985,"[56, 56]","[0, 0]","[0, 0]",1,60
61,"[0, 1]",148.04999999999941,"[60, 60]","[0, 0]","[0, 0]",1,60
62,"[2, 3]",185.55000000000794,"[59, 59]","[0, 0]","[0, 0]",1,60
63,"[0, 1]",151.00000000000009,"[61, 61]","[0, 0]","[0, 0]",1,60
64,"[2, 3]",189.3000000000088,"[62, 62]","[0, 0]","[0, 0]",1,60
65,"[2, 3]",194.10000000000989,"[64, 64]","[0, 0]","[0, 0]",1,60
66,"[0, 1]",152.8500000000005,"[63, 63]","[0, 0]","[0, 0]",1,60
67,"[0, 1]",156.85000000000142,"[66, 66]","[0, 0]","[0, 0]",1,60
68,"[2, 3]",196.8500000000105,"[65, 65]","[0, 0]","[0, 0]",1,60
69,"[0, 1]",159.75000000000207,"[67, 67]","[0, 0]","[0, 0]",1,60
70,"[0, 1]",163.70000000000297,"[69, 69]","[0, 0]","[0, 0]",1,60
71,"[2, 3]",199.60000000001114,"[68, 68]","[0, 0]","[0, 0]",1,60
72,"[2, 3]",204.45000000001224,"[71, 71]","[0, 0]","[0, 0]",1,60
73,"[0, 1]",165.5500000000034,"[70, 70]","[0, 0]","[0, 0]",1,60
74,"[2, 3]",208.2500000000131,"[72, 72]","[0, 0]","[0, 0]",1,60
75,"[0, 1]",168.45000000000405,"[73, 73]","[0, 0]","[0, 0]",1,60
76,"[0, 1]",172.45000000000496,"[75, 75]","[0, 0]","[0, 0]",1,60
77,"[2, 3]",210.95000000001372,"[74, 74]","[0, 0]","[0, 0]",1,60
78,"[2, 3]",215.80000000001482,"[77, 77]","[0, 0]","[0, 0]",1,60
79,"[0, 1]",174.30000000000538,"[76, 76]","[0, 0]","[0, 0]",1,60
0,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",2,60
1,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",2,60
2,"[2, 3]",72.999999999998,"[1, 1]","[0, 0]","[0, 0]",2,60
3,"[0, 1]",70.29999999999815,"[0, 0]","[0, 0]","[0, 0]",2,60
4,"[0, 1]",74.34999999999792,"[3, 3]","[0, 0]","[0, 0]",2,60
5,"[0, 1]",77.99999999999771,"[4, 4]","[0, 0]","[0, 0]",2,60
6,"[2, 3]",74.19999999999793,"[2, 2]","[0, 0]","[0, 0]",2,60
7,"[0, 1]",80.34999999999758,"[5, 5]","[0, 0]","[0, 0]",2,60
8,"[0, 1]",83.69999999999739,"[7, 7]","[0, 0]","[0, 0]",2,60
9,"[0, 1]",86.9499999999972,"[8, 8]","[0, 0]","[0, 0]",2,60
10,"[2, 3]",75.34999999999786,"[6, 6]","[0, 0]","[0, 0]",2,60
11,"[2, 3]",79.34999999999764,"[10, 10]","[0, 0]","[0, 0]",2,60
12,"[0, 1]",88.19999999999713,"[9, 9]","[0, 0]","[0, 0]",2,60
13,"[2, 3]",82.24999999999747,"[11, 11]","[0, 0]","[0, 0]",2,60
14,"[2, 3]",85.99999999999726,"[13, 13]","[0, 0]","[0, 0]",2,60
15,"[0, 1]",89.59999999999705,"[12, 12]","[0, 0]","[0, 0]",2,60
16,"[0, 1]",93.29999999999684,"[15, 15]","[0, 0]","[0, 0]",2,60
17,"[2, 3]",87.69999999999716,"[14, 14]","[0, 0]","[0, 0]",2,60
18,"[0, 1]",96.24999999999667,"[16, 16]","[0, 0]","[0, 0]",2,60
19,"[2, 3]",90.549999999997,"[17, 17]","[0, 0]","[0, 0]",2,60
20,"[0, 1]",99.3499999999965,"[18, 18]","[0, 0]","[0, 0]",2,60
21,"[0, 1]",103.39999999999627,"[20, 20]","[0, 0]","[0, 0]",2,60
22,"[2, 3]",92.89999999999687,"[19, 19]","[0, 0]","[0, 0]",2,60
23,"[2, 3]",97.5999999999966,"[22, 22]","[0, 0]","[0, 0]",2,60
24,"[0, 1]",105.39999999999615,"[21, 21]","[0, 0]","[0, 0]",2,60
25,"[0, 1]",109.39999999999593,"[24, 24]","[0, 0]","[0, 0]",2,60
26,"[2, 3]",100.39999999999644,"[23, 23]","[6.149999999999986, 0]","[0, 0]",2,60
27,"[2, 3]",105.34999999999616,"[26, 26]","[8.84999999999999, 0]","[0, 0]",2,60
28,"[2, 3]",110.24999999999588,"[27, 27]","[6.499999999999985, 0]","[0, 0]",2,60
29,"[2, 3]",115.0999999999956,"[28, 28]","[4.799999999999991, 0]","[0, 0]",2,60
30,"[0, 1]",109.39999999999593,"[25, 25]","[0, 0]","[0, 0]",2,60
31,"[0, 1]",113.3499999999957,"[30, 30]","[0, 0]","[0, 0]",2,60
32,"[0, 1]",117.34999999999548,"[31, 31]","[0, 0]","[0, 0]",2,60
33,"[0, 1]",121.29999999999525,"[32, 32]","[0, 0]","[0, 0]",2,60
34,"[0, 1]",125.24999999999503,"[33, 33]","[0, 0]","[0, 0]",2,60
35,"[0, 1]",129.24999999999514,"[34, 34]","[0, 0]","[0, 0]",2,60
36,"[2, 3]",113.74999999999568,"[29, 29]","[3.2499999999999964, 0]","[0, 0]",2,60
37,"[0, 1]",132.1499999999958,"[35, 35]","[0, 0]","[0, 0]",2,60
38,"[2, 3]",117.44999999999547,"[36, 36]","[1.7500000000000009, 0]","[0, 0]",2,60
39,"[2, 3]",122.2999999999952,"[38, 38]","[0, 0]","[0, 0]",2,60
40,"[2, 3]",127.14999999999492,"[39, 39]","[0, 0]","[0, 0]",2,60
41,"[2, 3]",131.94999999999575,"[40, 40]","[0, 0]","[0, 0]",2,60
42,"[0, 1]",131.94999999999575,"[37, 37]","[0, 0]","[0, 0]",2,60
43,"[0, 1]",135.94999999999666,"[42, 42]","[0, 0]","[0, 0]",2,60
44,"[2, 3]",134.69999999999638,"[41, 41]","[0, 0]","[0, 0]",2,60
45,"[2, 3]",139.54999999999748,"[44, 44]","[0, 0]","[0, 0]",2,60
46,"[0, 1]",137.8499999999971,"[43, 43]","[0, 0]","[0, 0]",2,60
47,"[2, 3]",143.29999999999833,"[45, 45]","[0, 0]","[0, 0]",2,60
48,"[2, 3]",148.14999999999944,"[47, 47]","[0, 0]","[0, 0]",2,60
49,"[2, 3]",153.00000000000054,"[48, 48]","[0, 0]","[0, 0]",2,60
50,"[2, 3]",157.80000000000163,"[49, 49]","[0, 0]","[0, 0]",2,60
51,"[0, 1]",137.54999999999703,"[46, 46]","[0, 0]","[0, 0]",2,60
52,"[2, 3]",161.6000000000025,"[50, 50]","[0, 0]","[0, 0]",2,60
