Vehicle_label,Road_order,Caused_delay,Count,Total_time
0,0,3.2999999999999963,1,97.04999999999663
0,1,0.05,1,67.44999999999831
0,2,0.05,2,67.79999999999829
0,3,0.4608695652173914,46,36.45000000000007
1,0,2.7999999999999963,5,100.90999999999642
1,1,0.46521739130434786,23,74.2826086956501
1,2,2.0055555555555555,9,69.26666666666488
1,3,2.342307692307692,13,39.04999999999992
2,0,1.2000000000000004,1,102.8499999999963
2,1,1.1000000000000003,1,67.49999999999831
2,2,0.9500000000000003,1,67.79999999999829
2,3,1.1202127659574463,47,38.795744680851
3,0,0.8045454545454546,11,102.71818181817812
3,1,0.6386363636363633,22,75.04545454545243
3,2,3.4642857142857086,7,71.84999999999806
3,3,2.854999999999997,10,41.43499999999979
4,0,4.449999999999992,1,109.59999999999592
4,1,1.1000000000000003,1,73.34999999999798
4,2,0.9500000000000003,1,69.09999999999822
4,3,2.6882978723404225,47,40.52021276595728
5,0,6.399999999999985,1,116.7999999999955
5,1,0.05,1,74.44999999999791
5,2,0.05,1,69.54999999999819
5,3,4.018085106382973,47,43.45638297872307
6,0,0.05,1,103.39999999999627
6,1,7.049999999999983,1,93.24999999999685
6,2,0.9500000000000003,1,68.34999999999826
6,3,5.276595744680843,47,46.52446808510588
7,0,1.1000000000000003,1,106.84999999999607
7,1,4.049999999999994,1,99.09999999999651
7,2,4.033333333333324,3,76.03333333333116
7,3,3.4444444444444406,45,49.31777777777712
8,0,1.364705882352941,17,99.28235294117297
8,1,2.213888888888887,18,72.15555555555359
8,2,6.191666666666667,6,78.15833333333104
8,3,6.966666666666666,9,51.82222222222142
9,0,5.749999999999988,1,128.649999999995
9,1,0.8116279069767441,43,74.48720930232349
9,2,3.374999999999992,2,75.22499999999786
9,3,10.837500000000038,4,56.53749999999893
10,0,7.499999999999981,1,132.69999999999592
10,1,0.05,1,78.69999999999767
10,2,5.399999999999989,1,76.29999999999781
10,3,4.56063829787234,47,49.418085106382314
11,0,9.249999999999996,1,136.0499999999967
11,1,2.7349999999999968,10,75.89999999999783
11,2,4.262499999999996,8,77.18124999999776
11,3,5.377419354838716,31,52.75806451612817
12,0,11.450000000000028,1,139.1499999999974
12,1,1.1551282051282041,39,75.73846153845938
12,2,4.614285714285706,7,75.592857142855
12,3,10.350000000000033,3,58.78333333333214
13,0,2.7142857142857113,7,107.92142857142458
13,1,5.483333333333341,3,92.81666666666354
13,2,5.58947368421054,19,80.22631578947126
13,3,8.754761904761935,21,55.17380952380853
14,0,1.0999999999999992,23,104.72391304347445
14,1,2.5681818181818152,11,79.49545454545218
14,2,8.866666666666719,3,85.44999999999727
14,3,7.992307692307711,13,53.542307692306785
15,0,4.899999999999991,1,111.99999999999578
15,1,13.350000000000055,1,112.04999999999578
15,2,13.70000000000006,1,89.44999999999706
15,3,9.373404255319189,47,58.388297872339244
16,0,11.950000000000035,1,145.04999999999873
16,1,1.3724999999999992,40,78.90999999999767
16,2,8.350000000000037,5,87.24999999999719
16,3,17.875000000000043,4,61.049999999998676
17,0,0.05,1,110.29999999999588
17,1,3.9333333333333265,3,81.88333333333082
17,2,7.27500000000003,2,81.6249999999975
17,3,14.031818181818272,44,65.63409090908932
18,0,2.6999999999999984,1,103.04999999999629
18,1,2.402631578947366,19,81.6921052631554
18,2,14.100000000000101,2,91.42499999999694
18,3,13.7642857142858,28,68.7464285714268
19,0,14.300000000000068,1,144.4499999999986
19,1,2.161956521739129,46,81.70326086956271
19,2,14.250000000000119,2,102.12499999999633
19,3,19.500000000000142,1,63.749999999998515
20,0,2.743749999999996,40,113.58499999999569
20,1,8.600000000000023,3,99.09999999999651
20,2,15.575000000000125,2,105.62499999999613
20,3,18.35000000000013,5,73.88999999999794
21,0,7.099999999999983,2,121.12499999999528
21,1,14.700000000000074,1,120.3999999999953
21,2,18.47500000000013,2,95.14999999999674
21,3,12.548888888888955,45,73.15888888888688
22,0,2.9499999999999935,2,122.3249999999957
22,1,3.346511627906972,43,86.96279069767162
22,2,15.125000000000147,2,104.07499999999712
22,3,15.816666666666757,3,78.61666666666434
23,0,4.28846153846153,13,117.88461538461117
23,1,4.908333333333329,24,91.67499999999694
23,2,26.566666666666908,3,112.06666666666338
23,3,12.435000000000079,10,70.75499999999812
24,0,4.927777777777767,9,121.58333333332884
24,1,5.089285714285706,28,90.61964285713985
24,2,15.987500000000093,4,104.6749999999962
24,3,13.844444444444523,9,70.68333333333146
25,0,5.941666666666659,18,121.46666666666235
25,1,8.912500000000007,12,97.42083333332994
25,2,10.25000000000004,6,106.81666666666274
25,3,15.867857142857227,14,76.39642857142637
26,0,11.400000000000027,1,154.30000000000084
26,1,4.064893617021269,47,96.64255319148602
26,2,17.30000000000011,1,115.2499999999956
26,3,24.550000000000214,1,89.09999999999708
27,0,2.799999999999998,1,107.94999999999601
27,1,10.25000000000001,1,94.54999999999677
27,2,19.850000000000147,1,128.599999999995
27,3,11.327659574468148,47,76.82234042552969
28,0,7.2428571428571376,7,128.8642857142813
28,1,5.649999999999993,22,95.54545454545126
28,2,10.790000000000045,5,105.16999999999616
28,3,11.015625000000053,16,82.93437499999743
29,0,5.593749999999998,16,126.80624999999613
29,1,6.826666666666669,15,105.60999999999613
29,2,9.316666666666727,9,114.0666666666632
29,3,11.625000000000048,10,88.24999999999713
30,0,5.456666666666668,15,134.71666666666349
30,1,7.404761904761911,21,99.673809523806
30,2,15.700000000000088,6,110.80833333332932
30,3,12.950000000000086,8,87.21249999999719
31,0,7.310714285714295,14,134.72857142856853
31,1,7.315384615384622,13,106.89615384614997
31,2,14.316666666666764,9,120.44444444444086
31,3,9.260714285714329,14,84.37857142856878
32,0,5.680769230769235,13,129.60769230768912
32,1,8.165384615384625,13,111.93076923076514
32,2,10.178571428571475,7,119.26428571428235
32,3,8.847058823529451,17,86.70588235293839
33,0,9.591666666666695,6,143.5999999999984
33,1,7.623333333333339,15,99.84666666666314
33,2,5.750000000000028,14,117.18571428571114
33,3,8.516666666666696,15,88.80999999999709
34,0,12.200000000000038,1,135.2499999999965
34,1,4.528260869565225,46,107.88586956521351
34,2,18.800000000000132,1,167.4000000000038
34,3,17.750000000000117,2,122.02499999999566
35,0,4.5687500000000005,8,132.48749999999734
35,1,8.630000000000042,5,106.9099999999967
35,2,8.756250000000025,8,110.5874999999965
35,3,6.818965517241401,29,88.6741379310316
36,0,10.100000000000076,2,130.37499999999744
36,1,13.950000000000063,1,105.69999999999614
36,2,7.099999999999983,1,149.14999999999966
36,3,7.111956521739156,46,94.47065217390991
37,0,4.186956521739133,23,134.33695652173625
37,1,7.904545454545479,11,111.75454545454154
37,2,11.125000000000057,8,129.00624999999698
37,3,16.275000000000098,8,112.9374999999966
38,0,4.996428571428581,14,139.16785714285476
38,1,4.425000000000003,12,103.21249999999634
38,2,9.816666666666721,12,128.22499999999738
38,3,8.445833333333363,12,95.57499999999679
39,0,8.22500000000004,2,135.29999999999885
39,1,7.399999999999982,1,132.1999999999958
39,2,8.649999999999988,1,148.09999999999943
39,3,7.094565217391326,46,102.57173913043147
40,0,16.900000000000105,1,143.1999999999983
40,1,5.69833333333334,30,106.35499999999614
40,2,35.950000000000095,1,103.04999999999629
40,3,7.4694444444444645,18,105.44999999999624
41,0,4.695000000000008,20,135.42999999999762
41,1,5.629166666666676,24,111.9645833333294
41,2,11.500000000000028,1,157.05000000000146
41,3,12.160000000000064,5,101.95999999999647
42,0,9.475000000000067,2,145.04999999999995
42,1,12.616666666666717,3,132.79999999999725
42,2,5.1386363636363805,44,136.84659090908903
42,3,18.900000000000134,1,130.49999999999542
43,0,8.999999999999993,1,168.90000000000416
43,1,6.744680851063842,47,111.99787234042171
43,2,22.500000000000185,1,171.80000000000481
43,3,21.100000000000165,1,134.19999999999627
44,0,19.850000000000147,1,148.49999999999952
44,1,7.440425531914908,47,116.7670212765919
44,2,23.050000000000193,1,168.75000000000412
44,3,22.600000000000186,1,142.59999999999818
45,0,16.816666666666773,3,152.63333333333378
45,1,8.124074074074098,27,122.24814814814451
45,2,8.750000000000043,13,142.0961538461529
45,3,12.407142857142938,7,116.94285714285404
46,0,8.866666666666701,9,153.01666666666725
46,1,8.186111111111131,18,128.86666666666332
46,2,9.475000000000055,6,139.5583333333331
46,3,10.805882352941225,17,114.97647058823222
47,0,5.849999999999987,2,135.07499999999857
47,1,13.85000000000013,2,111.27499999999958
47,2,35.9000000000001,1,113.74999999999568
47,3,7.767777777777802,45,110.97222222221895
48,0,9.63125000000006,8,149.57500000000073
48,1,7.412500000000013,28,119.26428571428154
48,2,9.02142857142862,7,136.85714285714025
48,3,10.150000000000057,7,123.1999999999974
49,0,5.816666666666658,3,136.23333333333048
49,1,7.22045454545455,22,119.45681818181448
49,2,29.550000000000285,1,126.54999999999495
49,3,8.416666666666694,24,109.94166666666337
50,0,22.300000000000182,1,158.5500000000018
50,1,6.444680851063842,47,127.59787234042211
50,2,25.400000000000226,1,186.3000000000081
50,3,25.850000000000232,1,151.35000000000016
51,0,12.966666666666761,3,139.216666666667
51,1,24.050000000000207,1,131.64999999999569
51,2,32.600000000000286,1,190.95000000000917
51,3,8.885555555555595,45,119.72999999999685
52,0,5.157142857142863,42,155.91904761904883
52,1,15.766666666666772,6,141.8499999999996
52,2,30.5500000000003,1,203.60000000001205
52,3,26.750000000000245,1,157.6000000000016
53,0,27.500000000000256,1,174.15000000000535
53,1,15.18750000000005,4,124.47499999999873
53,2,24.150000000000208,1,197.00000000001054
53,3,8.277272727272758,44,125.8545454545428
54,0,11.400000000000013,11,157.00454545454755
54,1,9.480000000000029,25,131.45999999999694
54,2,13.565384615384687,13,166.75769230769598
54,3,43.99999999999964,1,170.9000000000046
55,0,28.750000000000274,1,178.8000000000064
55,1,8.295744680851074,47,130.6510638297845
55,2,29.700000000000287,1,147.4999999999993
55,3,34.900000000000155,1,181.20000000000695
56,0,7.494444444444459,36,164.3722222222254
56,1,24.17499999999976,2,129.32500000000218
56,2,12.127272727272803,11,155.39090909091203
56,3,33.90000000000021,1,125.54999999999501
57,0,22.216666666666516,3,160.00000000000236
57,1,23.750000000000203,1,149.2999999999997
57,2,27.550000000000257,1,192.95000000000962
57,3,10.76333333333339,45,128.55333333333104
58,0,3.6666666666666607,3,149.18333333333302
58,1,8.233333333333356,27,132.23888888888666
58,2,22.400000000000183,1,172.80000000000504
58,3,11.660526315789543,19,123.21052631578796
59,0,10.669230769230815,13,171.9961538461587
59,1,12.865384615384597,13,138.88846153846004
59,2,14.818181818181927,11,169.0909090909133
59,3,17.638461538461595,13,142.06538461538463
60,0,10.73000000000005,20,162.91500000000278
60,1,27.624999999999584,2,162.77500000000276
60,2,33.35000000000024,1,197.00000000001054
60,3,12.63333333333339,27,139.6925925925918
61,0,25.816666666666436,3,183.75000000000753
61,1,8.733333333333368,45,137.2611111111091
61,2,32.90000000000027,1,200.55000000001135
61,3,37.699999999999996,1,172.25000000000492
62,0,11.109090909090952,11,174.136363636369
