Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number,vehicle_rate
0,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",1,22
1,"[2, 1]",38.54999999999995,"[0, 0]","[0, 0]","[0, 0]",1,22
2,"[2, 3]",69.89999999999817,"[1, -999]","[0, 0]","[0, 0]",1,22
3,"[2, 1]",39.49999999999989,"[2, 1]","[0, 0]","[0, 0]",1,22
4,"[2, 1]",42.099999999999746,"[3, 3]","[0, 0]","[0, 0]",1,22
5,"[2, 1]",44.84999999999959,"[4, 4]","[0, 0]","[0, 0]",1,22
6,"[2, 1]",47.549999999999436,"[5, 5]","[0, 0]","[0, 0]",1,22
7,"[2, 1]",49.9499999999993,"[6, 6]","[0, 0]","[0, 0]",1,22
8,"[2, 1]",52.24999999999917,"[7, 7]","[0, 0]","[0, 0]",1,22
9,"[0, 1]",76.4499999999978,"[0, 19]","[3.349999999999996, 0]","[3.349999999999996, 0]",1,22
10,"[0, 1]",77.04999999999777,"[9, 9]","[0, 0]","[0, 0]",1,22
11,"[0, 1]",83.84999999999738,"[10, 20]","[2.3999999999999995, 0]","[2.3999999999999995, 0]",1,22
12,"[0, 3]",114.99999999999561,"[11, 16]","[0, 0]","[0, 0]",1,22
13,"[2, 1]",42.14999999999974,"[8, 8]","[0, 0]","[0, 0]",1,22
14,"[2, 1]",44.49999999999961,"[13, 13]","[0, 0]","[0, 0]",1,22
15,"[0, 1]",82.79999999999744,"[12, 22]","[0, 0]","[0, 0]",1,22
16,"[2, 3]",72.79999999999801,"[14, 2]","[0, 0]","[0, 0]",1,22
17,"[0, 3]",112.39999999999576,"[15, 12]","[0, 0]","[0, 0]",1,22
18,"[2, 1]",38.89999999999993,"[16, 14]","[0, 0]","[0, 0]",1,22
19,"[2, 1]",41.949999999999754,"[18, 18]","[0, 0]","[0, 0]",1,22
20,"[2, 1]",55.499999999998984,"[19, 10]","[6.0499999999999865, 0]","[6.0499999999999865, 0]",1,22
21,"[0, 1]",82.74999999999744,"[17, 26]","[3.349999999999996, 0]","[3.349999999999996, 0]",1,22
22,"[2, 1]",58.89999999999879,"[20, 11]","[3.399999999999996, 0]","[3.399999999999996, 0]",1,22
23,"[0, 1]",81.14999999999753,"[21, 21]","[0, 0]","[0, 0]",1,22
24,"[2, 1]",63.59999999999852,"[22, 15]","[10.050000000000008, 0]","[0, 0]",1,22
25,"[0, 3]",110.39999999999587,"[23, 17]","[0, 0]","[0, 0]",1,22
26,"[2, 1]",61.74999999999863,"[24, 24]","[10.25000000000001, 0]","[0, 0]",1,22
27,"[2, 1]",76.04999999999782,"[26, 23]","[21.800000000000175, 0]","[6.499999999999985, 0]",1,22
28,"[2, 3]",108.84999999999596,"[27, 25]","[27.250000000000252, 0]","[0, 0]",1,22
29,"[0, 1]",75.24999999999787,"[25, 27]","[0, 0]","[0, 0]",1,22
30,"[0, 3]",109.19999999999594,"[29, 28]","[0, 0]","[0, 0]",1,22
31,"[0, 1]",82.04999999999748,"[30, 32]","[0, 0]","[0, 0]",1,22
32,"[2, 1]",72.54999999999802,"[28, 29]","[18.75000000000013, 0]","[0, 0]",1,22
33,"[0, 3]",111.09999999999583,"[31, 30]","[0, 0]","[0, 0]",1,22
34,"[0, 1]",84.14999999999736,"[33, 37]","[0, 0]","[0, 0]",1,22
35,"[0, 1]",86.54999999999723,"[34, 34]","[0, 0]","[0, 0]",1,22
36,"[0, 1]",88.7999999999971,"[35, 35]","[0, 0]","[0, 0]",1,22
37,"[2, 1]",70.99999999999811,"[32, 31]","[9.900000000000006, 0]","[3.1999999999999966, 0]",1,22
38,"[2, 1]",89.64999999999705,"[37, 36]","[15.450000000000085, 0]","[9.800000000000004, 0]",1,22
39,"[0, 3]",115.59999999999557,"[36, 33]","[0, 0]","[0, 0]",1,22
40,"[2, 1]",87.44999999999717,"[38, 38]","[2.9499999999999975, 0]","[0, 0]",1,22
41,"[2, 3]",120.29999999999531,"[40, 39]","[1.5500000000000007, 0]","[0, 0]",1,22
42,"[2, 3]",129.5499999999952,"[41, 45]","[0, 0]","[0, 0]",1,22
43,"[2, 1]",100.29999999999644,"[42, 44]","[0, 0]","[0, 0]",1,22
44,"[0, 1]",83.34999999999741,"[39, 40]","[3.2999999999999963, 0]","[3.2999999999999963, 0]",1,22
45,"[0, 3]",115.69999999999557,"[44, 41]","[0, 0]","[0, 0]",1,22
46,"[2, 1]",98.44999999999655,"[43, 43]","[0, 0]","[0, 0]",1,22
47,"[2, 1]",107.04999999999606,"[46, 50]","[0.6, 0]","[0, 0]",1,22
48,"[0, 3]",118.5499999999954,"[45, 42]","[1.850000000000001, 0]","[1.850000000000001, 0]",1,22
49,"[0, 3]",120.69999999999528,"[48, 48]","[0, 0]","[0, 0]",1,22
50,"[0, 1]",93.64999999999682,"[49, 46]","[0, 0]","[0, 0]",1,22
