Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number,vehicle_rate
68,"[2, 1]",124.69999999999506,"[67, 64]","[4.299999999999993, 0]","[2.7499999999999982, 0]",31,26
69,"[2, 3]",168.45000000000405,"[68, 71]","[9.55, 0]","[6.649999999999984, 0]",31,26
70,"[0, 3]",154.95000000000098,"[66, 66]","[0, 0]","[0, 0]",31,26
71,"[0, 3]",158.1500000000017,"[70, 70]","[0, 0]","[0, 0]",31,26
72,"[0, 1]",130.7999999999955,"[71, 68]","[0, 0]","[0, 0]",31,26
73,"[2, 1]",139.2499999999974,"[69, 74]","[3.899999999999994, 0]","[0, 0]",31,26
74,"[0, 1]",131.14999999999557,"[72, 72]","[0, 0]","[0, 0]",31,26
75,"[0, 1]",139.94999999999757,"[74, 73]","[2.3, 0]","[2.3, 0]",31,26
76,"[2, 1]",140.9999999999978,"[73, 75]","[2.7499999999999982, 0]","[0, 0]",31,26
77,"[0, 3]",167.70000000000388,"[75, 69]","[0, 0]","[0, 0]",31,26
78,"[2, 1]",140.29999999999765,"[76, 76]","[0.65, 0]","[0, 0]",31,26
79,"[2, 3]",174.65000000000546,"[78, 77]","[1.4500000000000006, 0]","[0, 0]",31,26
0,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",32,26
1,"[0, 1]",76.69999999999779,"[-999, 11]","[0, 0]","[3.349999999999996, 0]",32,26
2,"[2, 1]",36.90000000000004,"[0, 0]","[0, 0]","[0, 0]",32,26
3,"[0, 1]",75.39999999999786,"[1, 1]","[0, 0]","[0, 0]",32,26
4,"[2, 3]",68.04999999999828,"[2, -999]","[0, 0]","[0, 0]",32,26
5,"[2, 3]",71.94999999999806,"[4, 4]","[0, 0]","[0, 0]",32,26
6,"[2, 1]",39.799999999999876,"[5, 2]","[0, 0]","[0, 0]",32,26
7,"[0, 3]",100.64999999999642,"[3, 9]","[0, 0]","[0, 0]",32,26
8,"[2, 1]",40.699999999999825,"[6, 6]","[0, 0]","[0, 0]",32,26
9,"[2, 3]",73.69999999999796,"[8, 5]","[0, 0]","[0, 0]",32,26
10,"[2, 1]",42.799999999999706,"[9, 8]","[0, 0]","[0, 0]",32,26
11,"[2, 1]",46.349999999999504,"[10, 10]","[0, 0]","[0, 0]",32,26
12,"[2, 1]",60.19999999999872,"[11, 3]","[5.649999999999988, 0]","[5.649999999999988, 0]",32,26
13,"[0, 3]",97.19999999999662,"[7, 7]","[0, 0]","[0, 0]",32,26
14,"[2, 1]",59.24999999999877,"[12, 12]","[0, 0]","[0, 0]",32,26
15,"[0, 1]",74.7499999999979,"[13, 18]","[3.1999999999999966, 0]","[3.1999999999999966, 0]",32,26
16,"[2, 1]",59.79999999999874,"[14, 14]","[7.299999999999982, 0]","[0, 0]",32,26
17,"[0, 3]",103.84999999999624,"[15, 13]","[0, 0]","[0, 0]",32,26
18,"[2, 1]",60.4999999999987,"[16, 16]","[9.850000000000005, 0]","[0, 0]",32,26
19,"[0, 3]",105.39999999999615,"[17, 17]","[0, 0]","[0, 0]",32,26
20,"[0, 3]",114.04999999999566,"[19, 25]","[2.3999999999999995, 0]","[2.3999999999999995, 0]",32,26
21,"[2, 1]",65.24999999999844,"[18, 15]","[11.250000000000025, 0]","[0, 0]",32,26
22,"[0, 3]",114.34999999999565,"[20, 20]","[0, 0]","[0, 0]",32,26
23,"[0, 1]",87.84999999999715,"[22, 30]","[0, 0]","[0, 0]",32,26
24,"[0, 3]",119.44999999999536,"[23, 22]","[0, 0]","[0, 0]",32,26
25,"[2, 3]",96.89999999999664,"[21, 19]","[11.400000000000027, 0]","[0, 0]",32,26
26,"[0, 1]",96.44999999999666,"[24, 34]","[3.099999999999997, 0]","[3.099999999999997, 0]",32,26
27,"[2, 1]",65.39999999999843,"[25, 21]","[8.199999999999982, 0]","[0, 0]",32,26
28,"[0, 1]",95.09999999999674,"[26, 26]","[0, 0]","[0, 0]",32,26
29,"[0, 3]",127.24999999999491,"[28, 24]","[0, 0]","[0, 0]",32,26
30,"[2, 1]",64.29999999999849,"[27, 27]","[2.849999999999998, 0]","[0, 0]",32,26
31,"[0, 3]",128.84999999999505,"[29, 29]","[0, 0]","[0, 0]",32,26
32,"[2, 1]",71.2499999999981,"[30, 23]","[0, 0]","[0, 0]",32,26
33,"[0, 1]",97.74999999999659,"[31, 38]","[0, 0]","[0, 0]",32,26
34,"[2, 1]",70.19999999999816,"[32, 32]","[0, 0]","[0, 0]",32,26
35,"[0, 3]",128.44999999999496,"[33, 31]","[0, 0]","[0, 0]",32,26
36,"[0, 1]",101.0999999999964,"[35, 39]","[0, 0]","[0, 0]",32,26
37,"[2, 1]",79.8499999999976,"[34, 28]","[2.7499999999999982, 0]","[2.7499999999999982, 0]",32,26
38,"[2, 1]",80.64999999999756,"[37, 37]","[0.9500000000000003, 0]","[0, 0]",32,26
39,"[2, 1]",89.44999999999706,"[38, 33]","[1.6000000000000008, 0]","[0, 0]",32,26
40,"[2, 1]",102.8499999999963,"[39, 42]","[8.449999999999985, 0]","[6.999999999999983, 0]",32,26
41,"[2, 1]",121.09999999999526,"[40, 53]","[10.15000000000001, 0]","[9.750000000000004, 0]",32,26
42,"[0, 1]",91.84999999999692,"[36, 36]","[0, 0]","[0, 0]",32,26
43,"[0, 3]",124.69999999999506,"[42, 35]","[0, 0]","[0, 0]",32,26
44,"[0, 1]",97.6499999999966,"[43, 40]","[0, 0]","[0, 0]",32,26
45,"[2, 1]",115.1499999999956,"[41, 41]","[0, 0]","[0, 0]",32,26
46,"[2, 1]",123.74999999999511,"[45, 62]","[0, 0]","[0, 0]",32,26
47,"[2, 3]",157.35000000000153,"[46, 64]","[1.800000000000001, 0]","[0, 0]",32,26
48,"[2, 3]",161.00000000000236,"[47, 47]","[4.299999999999993, 0]","[0, 0]",32,26
49,"[0, 1]",90.79999999999698,"[44, 44]","[0, 0]","[0, 0]",32,26
50,"[2, 1]",134.94999999999644,"[48, 69]","[6.099999999999986, 0]","[0, 0]",32,26
51,"[2, 3]",173.9000000000053,"[50, 71]","[6.749999999999984, 0]","[0, 0]",32,26
