,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,0,"[-4.727356330843291, -4.733297385284927]","[0.5014852592417532, 0.4985147407582467]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",1.2214437673959742,1.0310856545180684
1,1,"[-4.474837660270235, -4.490725015336636]","[0.5039717552250356, 0.49602824477496454]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]",1.0051480333821616,1.0260346857036322
2,2,"[-4.061429975937845, -4.080655400953437]","[0.5048062082168013, 0.49519379178319867]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]",1.1197002320067166,0.9674610086231732
3,3,"[-5.280825835156988, -5.309275404834403]","[0.5071119127403397, 0.49288808725966027]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",0.906960763595646,1.1105978877691522
4,4,"[-4.8861435487541955, -4.924261786788119]","[0.5095284058052268, 0.4904715941947731]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",1.1801572151027957,1.0439411730974943
5,5,"[-3.182319818550438, -3.1983083390658846]","[0.5039970449812449, 0.4960029550187551]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",1.071584738884419,0.8492222731175405
6,6,"[-2.202164709671762, -2.2068730005094217]","[0.5011770705349738, 0.49882292946502615]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",1.121461932291714,0.6391908824054087
7,7,"[-2.866763565435678, -2.878079612671394]","[0.5028289816207125, 0.4971710183792875]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1]",1.143919074672462,0.7882573046586465
8,8,"[-7.087429715503776, -7.1847500706243626]","[0.5243109039178773, 0.47568909608212273]","[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]",0.964327599724484,1.2235541660631353
9,9,"[-3.0896493782543017, -3.1107471761007073]","[0.5052742538246836, 0.4947257461753165]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]",1.066946413199037,0.8327411384076129
