,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,0,"[-4.727356330843291, -4.733297385284927]","[0.5014852592417532, 0.4985147407582467]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",1.2214437673959742,1.0310856545180684
1,1,"[-4.475535406407826, -4.491776989597779]","[0.504060306542522, 0.495939693457478]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",1.0051480333821616,1.0260346857036322
2,2,"[-4.063712317564602, -4.085116093063293]","[0.5053507396021144, 0.49464926039788554]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1.1197002320067166,0.9674610086231732
3,3,"[-5.277198389073597, -5.298177175781355]","[0.5052445043320057, 0.49475549566799437]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1]",0.906960763595646,1.1105978877691522
4,4,"[-4.88967233601806, -4.924677615123605]","[0.5087504262524668, 0.4912495737475332]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1.1801572151027957,1.0439411730974943
5,5,"[-3.182250242907085, -3.1944518958439287]","[0.5030503753892291, 0.4969496246107708]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",1.071584738884419,0.8492222731175405
6,6,"[-2.2024179555125034, -2.2057734741746544]","[0.5008388788784245, 0.49916112112157557]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",1.121461932291714,0.6391908824054087
7,7,"[-2.8678720898999845, -2.877996268880535]","[0.5025310231262297, 0.49746897687377034]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1.143919074672462,0.7882573046586465
8,8,"[-7.08771437382989, -7.161000484197187]","[0.5183133318061951, 0.48168666819380496]","[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",0.964327599724484,1.2235541660631353
9,9,"[-3.091265315884849, -3.110534963266014]","[0.5048172627843226, 0.49518273721567746]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",1.066946413199037,0.8327411384076129
10,10,"[-7.684631674379909, -7.815053087031475]","[0.5325592142475074, 0.4674407857524926]","[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",1.1483516045170734,1.2297447078321582
11,11,"[-3.5995290056573666, -3.636332670446886]","[0.5091998777771494, 0.4908001222228507]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",0.930053883054885,0.922554489031118
12,12,"[-2.706502138109328, -2.7250299722640925]","[0.5046318260380992, 0.49536817396190075]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",0.9101937289521496,0.772929357721881
13,13,"[-3.3079741229458453, -3.3507502883133347]","[0.510692410976837, 0.489307589023163]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",0.7173118735188772,0.9054805892002632
14,14,"[-7.32514007029799, -7.507735814272945]","[0.5455225248996982, 0.45447747510030184]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0.9876422094215832,1.2305758690050164
15,15,"[-4.247597594487873, -4.315035514666399]","[0.5168530933845707, 0.48314690661542925]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1.049949822077155,0.988571451684492
16,16,"[-4.757405224287826, -4.829431280934017]","[0.5179987337523978, 0.48200126624760226]","[1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",1.0128420401417957,1.0444308657929866
17,17,"[-6.529995636739529, -6.666334968607287]","[0.5340321323463358, 0.4659678676536641]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1.2846595689730385,1.1490656852021406
18,18,"[-3.6332954049538437, -3.691565120777687]","[0.5145633085497807, 0.48543669145021917]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",0.9336869457772368,0.9233967401190656
19,19,"[-7.773449150776141, -8.02482596742416]","[0.5625153533273474, 0.4374846466726526]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0]",1.0084911436696475,1.247448281128187
