,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,0,"[-4.727356330843291, -4.733297385284927]","[0.5014852592417532, 0.4985147407582467]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]",1.2214437673959742,1.0310856545180684
1,1,"[-4.475535406407826, -4.488851394370483]","[0.5033289478012961, 0.4966710521987039]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]",1.0051480333821616,1.0260346857036322
2,2,"[-4.061675483576979, -4.078866504228875]","[0.5042976493227102, 0.49570235067728974]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",1.1197002320067166,0.9674610086231732
3,3,"[-5.2829187008492005, -5.312508421249518]","[0.5073968904113806, 0.4926031095886193]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",0.906960763595646,1.1105978877691522
4,4,"[-4.886625324496705, -4.922924274456144]","[0.5090737412045433, 0.49092625879545665]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",1.1801572151027957,1.0439411730974943
5,5,"[-3.1828489386297303, -3.1997833990426146]","[0.5042335139312065, 0.4957664860687934]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]",1.071584738884419,0.8492222731175405
6,6,"[-2.202140463878141, -2.208013028890453]","[0.5014681370337744, 0.49853186296622554]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0]",1.121461932291714,0.6391908824054087
7,7,"[-2.8657644508996345, -2.8790099740777295]","[0.5033113323819141, 0.49668866761808594]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",1.143919074672462,0.7882573046586465
8,8,"[-7.085832702240858, -7.184440317993683]","[0.5246319481878526, 0.4753680518121474]","[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",0.964327599724484,1.2235541660631353
9,9,"[-3.0893683220761092, -3.11218010907773]","[0.5057026994561161, 0.4942973005438839]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1.066946413199037,0.8327411384076129
10,10,"[-7.672188785486048, -7.813630178559854]","[0.5353015153501369, 0.4646984846498631]","[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1.1483516045170734,1.2297447078321582
11,11,"[-3.597913109810355, -3.64125131669381]","[0.5108328562512271, 0.48916714374877285]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]",0.930053883054885,0.922554489031118
12,12,"[-2.706318506998913, -2.729967424508941]","[0.5059119538478993, 0.49408804615210056]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1]",0.9101937289521496,0.772929357721881
13,13,"[-3.3064499612841685, -3.3550598798283393]","[0.5121500872523441, 0.4878499127476559]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",0.7173118735188772,0.9054805892002632
14,14,"[-7.319633678868781, -7.539336331497448]","[0.5547057893380694, 0.4452942106619305]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0.9876422094215832,1.2305758690050164
15,15,"[-4.244253214115804, -4.323477650236921]","[0.5197957560893728, 0.4802042439106273]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",1.049949822077155,0.988571451684492
16,16,"[-4.759414645566356, -4.863345378750159]","[0.5259593206575292, 0.4740406793424709]","[1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",1.0128420401417957,1.0444308657929866
17,17,"[-6.529613109306783, -6.728636285366003]","[0.5495922054475431, 0.4504077945524569]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1.2846595689730385,1.1490656852021406
18,18,"[-3.629758152290797, -3.7008544789712303]","[0.5177665985832675, 0.48223340141673265]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]",0.9336869457772368,0.9233967401190656
19,19,"[-7.769703059233208, -8.101557302148994]","[0.5822104741901651, 0.41778952580983486]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",1.0084911436696475,1.247448281128187
20,20,"[-2.644961590466373, -2.6873003528195136]","[0.5105831097210619, 0.489416890278938]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0.7928541816484148,0.7677032525423005
