,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,0,"[-4.727356330843291, -4.733297385284927]","[0.5014852592417532, 0.4985147407582467]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",1.2214437673959742,1.0310856545180684
1,1,"[-4.477974178918049, -4.489555022122194]","[0.5028951784436463, 0.4971048215563537]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]",1.0051480333821616,1.0260346857036322
2,2,"[-4.06660818032102, -4.085116093063293]","[0.5046268461119073, 0.49537315388809255]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",1.1197002320067166,0.9674610086231732
3,3,"[-5.2747134223184, -5.294852460935935]","[0.5050345894944325, 0.4949654105055675]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0.906960763595646,1.1105978877691522
4,4,"[-4.891173703554068, -4.933359101997517]","[0.5105447858586092, 0.4894552141413908]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1.1801572151027957,1.0439411730974943
5,5,"[-3.181685335171458, -3.192781080991434]","[0.5027739079957791, 0.4972260920042208]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",1.071584738884419,0.8492222731175405
6,6,"[-2.202308026654486, -2.2057734741746544]","[0.500866361013008, 0.49913363898699215]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",1.121461932291714,0.6391908824054087
7,7,"[-2.8674981887586304, -2.877996268880535]","[0.502624495926781, 0.4973755040732189]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1.143919074672462,0.7882573046586465
8,8,"[-7.084516314591266, -7.161000484197187]","[0.5191117266165949, 0.4808882733834052]","[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1]",0.964327599724484,1.2235541660631353
9,9,"[-3.090624448641975, -3.1105003925119292]","[0.5049688223894897, 0.4950311776105103]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",1.066946413199037,0.8327411384076129
10,10,"[-7.680029984034173, -7.815053087031475]","[0.5337045849417204, 0.46629541505827965]","[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",1.1483516045170734,1.2297447078321582
11,11,"[-3.59773894384491, -3.636332670446886]","[0.5096472342367785, 0.49035276576322157]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",0.930053883054885,0.922554489031118
12,12,"[-2.7063484541790466, -2.7292159494605666]","[0.5057166247099866, 0.49428337529001326]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",0.9101937289521496,0.772929357721881
13,13,"[-3.3079741229458453, -3.3593979516615344]","[0.5128531248925778, 0.48714687510742216]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",0.7173118735188772,0.9054805892002632
14,14,"[-7.319772866705009, -7.5127925514600875]","[0.5481056594098872, 0.45189434059011274]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",0.9876422094215832,1.2305758690050164
15,15,"[-4.2435764613650955, -4.315294429079719]","[0.5179218109003311, 0.48207818909966893]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1.049949822077155,0.988571451684492
16,16,"[-4.757405224287826, -4.836507540469031]","[0.5197652738861235, 0.48023472611387663]","[1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1.0128420401417957,1.0444308657929866
17,17,"[-6.522624712396948, -6.666334968607287]","[0.5358658582411242, 0.46413414175887585]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1.2846595689730385,1.1490656852021406
18,18,"[-3.6332954049538437, -3.6980347068013937]","[0.5161791750407738, 0.48382082495922624]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0.9336869457772368,0.9233967401190656
19,19,"[-7.77793969767168, -8.055685154569563]","[0.5689934062161931, 0.43100659378380696]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]",1.0084911436696475,1.247448281128187
20,20,"[-2.6477527757004666, -2.692197115330858]","[0.5111092562922599, 0.4888907437077401]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0.7928541816484148,0.7677032525423005
21,21,"[-2.5033877251325434, -2.532681320606584]","[0.5073228752204048, 0.49267712477959524]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0]",0.8987223420550426,0.7255062881954569
22,22,"[-3.741621235276806, -3.8078738738565883]","[0.5165571037586372, 0.4834428962413628]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]",1.2660771077406183,0.9087060187902616
23,23,"[-9.456104015191734, -9.932468109081608]","[0.6168889417070886, 0.38311105829291137]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",1.1835341523799678,1.2938504442504717
24,24,"[-3.9544837154004626, -4.068185577869856]","[0.5283948811860885, 0.4716051188139116]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0.5763070257469474,1.0196433273969019
25,25,"[-2.9349593902375335, -2.9839150540079284]","[0.5122364721546432, 0.4877635278453568]","[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.929104251660825,0.8094621780459791
26,26,"[-4.546760595313332, -4.687676500492476]","[0.5351707958159947, 0.46482920418400525]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0.9655494513173656,1.0206722679893547
27,27,"[-3.259939121671282, -3.317394088079126]","[0.5143597915923871, 0.48564020840761296]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]",1.0696355534427306,0.8530683394972738
28,28,"[-2.476543078026297, -2.506426399161652]","[0.5074702743711754, 0.4925297256288245]","[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]",1.083873278420174,0.7042668017045299
29,29,"[-2.387254140637443, -2.4210276536174113]","[0.5084425757581187, 0.4915574242418812]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",1.1232400994474456,0.6795141803421869
