Vehicle_label,Road_order,Caused_delay,Count,Total_time
0,0,0.0,22,67.39999999999831
0,1,0.0,28,67.7499999999983
1,0,0.0,25,68.69599999999824
1,1,0.0,25,69.60399999999818
2,0,0.0,31,69.3741935483853
2,1,0.0,19,70.25789473684026
3,0,0.0,32,70.41874999999814
3,1,0.0,18,70.86111111110922
4,0,0.0,27,71.24259259259068
4,1,0.0,23,72.15652173912848
5,0,0.0,49,71.72959183673277
5,1,0.0,1,74.29999999999792
6,0,0.0,30,72.31999999999805
6,1,0.0,20,72.857499999998
7,0,0.0,28,72.54107142856945
7,1,0.0,22,72.98636363636163
8,0,0.0,49,72.81326530612046
8,1,0.0,1,76.99999999999777
9,0,0.0,26,73.13269230769029
9,1,0.0,24,73.91874999999794
10,0,0.0,38,73.26842105262956
10,1,0.0,12,74.30833333333125
11,0,0.0,49,73.61122448979388
11,1,0.0,1,80.59999999999756
12,0,0.0,23,74.13478260869358
12,1,0.0,27,75.00370370370159
13,0,0.0,32,74.43749999999791
13,1,0.0,18,75.64444444444229
14,0,0.0,31,75.14032258064303
14,1,0.32631578947368345,19,76.63947368420831
15,0,0.0,36,75.36527777777565
15,1,0.0,14,75.74642857142642
16,0,0.0,37,76.1648648648627
16,1,0.0,13,76.51153846153626
17,0,0.0,32,77.16249999999776
17,1,0.0,18,77.29444444444219
18,0,0.0,28,77.54285714285488
18,1,0.0,22,77.24545454545229
19,0,0.0,26,77.84230769230541
19,1,0.36666666666666625,24,77.5729166666644
20,0,0.0,22,78.86590909090675
20,1,0.21964285714285664,28,79.1053571428548
21,0,0.0,34,78.95147058823295
21,1,0.5156249999999989,16,79.07812499999766
22,0,0.0,27,79.70740740740503
22,1,0.815217391304346,23,79.63043478260632
23,0,0.0,27,80.3148148148124
23,1,1.3934782608695626,23,80.51086956521496
24,0,0.0,36,81.23472222221976
24,1,2.2857142857142816,14,83.06785714285456
25,0,0.0,27,81.70185185184936
25,1,2.1608695652173884,23,82.23913043478008
26,0,0.0,49,82.41632653060971
26,1,0.0,1,98.29999999999656
27,0,0.0,24,83.83958333333071
27,1,3.151923076923071,26,83.98653846153584
28,0,0.0,49,83.93979591836471
28,1,0.0,1,102.7999999999963
29,0,0.0,26,84.8519230769204
29,1,1.8541666666666634,24,84.12291666666404
30,0,0.0,21,84.94523809523541
30,1,3.6051724137930976,29,84.08965517241116
31,0,0.0,49,85.94387755101766
31,1,0.0,1,107.44999999999604
32,0,0.0,28,86.75535714285435
32,1,3.1022727272727213,22,85.98181818181544
33,0,0.0,28,87.13214285714005
33,1,4.654545454545445,22,86.29545454545179
34,0,0.0,27,88.09814814814528
34,1,3.8413043478260804,23,88.68260869564928
35,0,0.0,28,88.50892857142568
35,1,4.513636363636357,22,88.92045454545165
36,0,0.0,29,88.83793103447985
36,1,3.738095238095233,21,89.42142857142564
37,0,0.0,46,89.77282608695356
37,1,3.5374999999999934,4,93.39999999999684
38,0,0.0,28,90.59821428571128
38,1,3.3045454545454493,22,90.99090909090606
39,0,0.0,27,90.83333333333032
39,1,2.7152173913043423,23,90.47608695651874
40,0,0.0,27,91.56666666666361
40,1,2.0782608695652156,23,92.14130434782301
41,0,0.0,47,92.38936170212455
41,1,0.0,3,98.94999999999652
42,0,0.0,26,93.49038461538144
42,1,2.2208333333333306,24,94.69999999999676
43,0,0.0,30,94.35666666666344
43,1,1.682499999999998,20,97.20999999999663
44,0,0.0,49,94.44693877550698
44,1,0.0,1,100.34999999999644
45,0,0.0,33,95.40303030302702
45,1,1.0794117647058812,17,96.26176470587903
46,0,0.0,27,95.82222222221891
46,1,0.8456521739130425,23,95.71086956521411
47,0,0.0,49,96.7306122448946
47,1,0.0,1,107.24999999999605
48,0,0.0,22,98.51136363636019
48,1,1.4124999999999972,28,98.90178571428224
49,0,0.0,32,97.6312499999966
49,1,1.0999999999999988,18,96.38055555555223
50,0,0.0,27,99.1999999999965
50,1,0.7326086956521735,23,100.85217391303989
51,0,0.0,28,99.2124999999965
51,1,1.7181818181818151,22,99.64545454545102
52,0,0.0,49,100.01122448979238
52,1,0.0,1,114.14999999999566
53,0,0.0,31,101.92258064515765
53,1,0.978947368421051,19,105.76315789473297
54,0,0.0,25,101.1419999999964
54,1,1.1559999999999988,25,100.88799999999641
55,0,0.0,21,101.94047619047255
55,1,1.0362068965517224,29,102.57586206896183
56,0,0.0,49,102.679591836731
56,1,0.0,1,125.84999999999499
57,0,0.0,49,103.6632653061187
57,1,0.0,1,121.04999999999526
58,0,0.0,34,104.894117647055
58,1,0.6156249999999989,16,106.60937499999609
59,0,0.0,49,105.43877551020024
59,1,0.0,1,130.3999999999954
60,0,0.0,30,106.9283333333294
60,1,0.07500000000000004,20,108.00499999999609
61,0,0.0,49,106.99795918366952
61,1,0.0,1,123.34999999999513
62,0,0.0,22,108.13409090908691
62,1,0.3428571428571426,28,107.72857142856745
63,0,0.0,49,108.54183673468985
63,1,0.0,1,135.04999999999646
64,0,0.0,49,109.56938775509795
64,1,0.0,1,137.399999999997
65,0,0.0,28,110.96071428571013
65,1,0.36136363636363644,22,109.8386363636324
66,0,0.0,20,111.4549999999958
66,1,0.4216666666666667,30,109.42999999999593
67,0,0.0,49,111.59897959183253
67,1,0.0,1,141.99999999999804
68,0,0.0,49,112.62551020407737
68,1,0.0,1,144.29999999999856
69,0,0.0,21,112.90476190475763
69,1,0.24482758620689596,29,109.00344827585806
70,0,0.0,26,114.39038461538027
70,1,0.2229166666666662,24,112.96041666666265
71,0,0.0,30,115.49999999999558
71,1,0.05000000000000001,20,117.31249999999564
72,0,0.0,49,115.20816326530172
72,1,0.0,1,148.8999999999996
73,0,0.0,49,116.07346938775065
73,1,0.0,1,134.8499999999964
74,0,0.0,21,116.72380952380503
74,1,0.050000000000000024,29,112.82586206896136
75,0,0.0,49,117.58061224489343
75,1,0.0,1,151.15000000000012
76,0,0.0,28,118.6749999999954
76,1,0.024999999999999998,22,116.5090909090866
77,0,0.0,49,119.08979591836271
77,1,0.0,1,153.40000000000063
78,0,0.0,19,119.21052631578486
78,1,0.02096774193548387,31,114.01612903225403
79,0,0.0,28,120.45357142856673
79,1,0.0,22,118.6863636363595
