Vehicle_label,Road_order,Caused_delay,Count,Total_time
0,0,1.8949999999999974,10,99.23999999999651
0,1,0.8576923076923065,13,72.13076923076727
0,2,0.0,10,67.79999999999829
0,3,0.0,17,36.45000000000007
1,0,0.49444444444444446,9,104.10555555555179
1,1,2.2464285714285688,14,73.79642857142652
1,2,0.0,13,68.56538461538285
1,3,0.0,14,38.996428571428496
2,0,0.0,7,103.71428571428196
2,1,1.21,15,77.12999999999776
2,2,0.0,14,70.89999999999812
2,3,0.0,14,39.260714285714194
3,0,0.7499999999999998,10,107.80999999999601
3,1,0.6705882352941175,17,81.47647058823281
3,2,0.0,9,72.31111111110914
3,3,0.0,14,41.18214285714266
4,0,1.0437499999999984,8,108.33749999999598
4,1,0.35769230769230764,13,80.69230769230525
4,2,0.0,10,72.04999999999805
4,3,0.0,19,41.16052631578928
5,0,1.1,6,112.84999999999575
5,1,0.7949999999999996,10,83.4199999999974
5,2,0.0,13,74.68461538461328
5,3,0.0,21,43.28095238095206
6,0,0.37083333333333335,12,113.39166666666237
6,1,0.3428571428571428,14,84.66428571428305
6,2,0.0,12,75.30416666666453
6,3,0.0,12,45.22916666666623
7,0,0.8499999999999998,11,110.84545454545038
7,1,0.4999999999999999,13,87.28076923076642
7,2,0.0,9,76.74444444444222
7,3,0.0,17,45.385294117646616
8,0,0.0,9,114.91666666666227
8,1,0.4423076923076924,13,85.48076923076653
8,2,0.0,12,75.69166666666452
8,3,0.0,16,46.27499999999951
9,0,0.5499999999999998,9,117.53888888888449
9,1,0.6138888888888887,18,89.68611111110816
9,2,0.0,13,80.33846153845911
9,3,0.3449999999999996,10,49.01999999999935
10,0,0.566666666666666,12,119.55416666666247
10,1,0.4291666666666665,12,90.14999999999702
10,2,0.0,16,79.63437499999762
10,3,0.0,10,49.02499999999935
11,0,0.3428571428571428,7,122.16428571428152
11,1,0.3999999999999999,6,84.42499999999735
11,2,0.0,12,82.13333333333081
11,3,0.05400000000000002,25,48.49799999999939
12,0,0.79,5,122.03999999999549
12,1,0.38888888888888906,9,93.66666666666349
